Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.684,0.45329169290698396,0.3532848949237037
89.683,0.45186176517963916,0.35185494516675425
89.682,0.4504408307541793,0.3504339887120624
89.681,0.44902880505409765,0.3490219409831209
89.68,0.4476256045600937,0.3476187184606289
89.679,0.44623114679360615,0.3462242386660247
89.678,0.44484535030065175,0.3448384201453245
89.677,0.4434681346359657,0.3434611824532632
89.676,0.4420994203474342,0.3420924461377264
89.675,0.440739128960816,0.3407321327244728
89.674,0.43938718296474366,0.33938016470213433
89.673,0.4380435057960013,0.33803646550749444
89.672,0.4367080218250706,0.3367009595110351
89.671,0.4353806563419412,0.33537357200274515
89.67,0.43406133554217835,0.3340542291781895
89.669,0.4327499865132442,0.33274285812482984
89.668,0.4314465372210649,0.33143938680859236
89.667,0.43015091649684084,0.33014374406067704
89.666,0.4288630540240935,0.32885585956460456
89.665,0.42758288032594394,0.3275756638434962
89.664,0.42631032675261893,0.3263030882475784
89.663,0.4250453254691794,0.3250380649419114
89.662,0.42378780944346667,0.3237805268943367
89.661,0.42253771243426175,0.3225304078636346
89.66,0.42129496897965457,0.3212876423878952
89.659,0.4200595143856162,0.32005216577308915
89.658,0.4188312847147732,0.31882391408184274
89.657,0.41761021677537763,0.31760282412240787
89.656,0.4163962481104693,0.316388833437824
89.655,0.41518931698722644,0.3151818802952693
89.654,0.4139893623865016,0.31398190367559603
89.653,0.4127963239925383,0.3127888432630477
89.652,0.41161014218286435,0.3116026394351517
89.651,0.4104307580183598,0.3104232332527882
89.65,0.4092581132334947,0.3092505664504267
89.649,0.4080921502267337,0.30808458142653206
89.648,0.4069328120511042,0.3069252212341314
89.647,0.4057800424049254,0.30577242957154377
89.646,0.4046337856226932,0.304626150773265
89.645,0.403493986666121,0.3034863298010082
89.644,0.4023605911153295,0.3023529122348942
89.643,0.40123354516018617,0.3012258442647901
89.642,0.4001127955917889,0.3001050726817938
89.641,0.3989982897940925,0.29900165941263857
89.6401,0.39800052998419533,0.2980038242715493
89.63919,0.3969967448540876,0.29699996339541374
89.63828,0.3959980103183108,0.2960011535338716
89.63737,0.39500428835430035,0.29499646352142406
89.63645,0.39400470346423067,0.29399685837978196
89.63552,0.3929993823206874,0.29300229960305296
89.63459,0.39199917846979293,0.2920020204644171
89.63366,0.3910040529388813,0.29099614644120686
89.63272,0.3900033483135777,0.2899954211253415
89.63177,0.3889971888493613,0.28899980508562834
89.63082,0.38799620766161913,0.28799874868805275
89.62987,0.3870003648776363,0.2870028311121391
89.62891,0.3859992191298656,0.2860016102053247
89.62795,0.3850032399275599,0.28499520775063925
89.62698,0.38400209283913295,0.2840043340742352
89.626,0.38299589838165576,0.2829980641676927
89.62502,0.3819949632849593,0.28199705404417474
89.62404,0.3809992464209427,0.28100126257118746
89.62305,0.3799986260910866,0.2800005672908947
89.62206,0.3790032479756257,0.27899508616989355
89.62106,0.37800309559336753,0.2780048873941092
89.62005,0.37699828561178994,0.27700000222110993
89.61904,0.3759988035675286,0.2760004454064988
89.61803,0.3750046071964003,0.2749963567044518
89.617,0.37399612412735767,0.27399761621107155
89.61598,0.37300276347670136,0.273004181308933
89.61494,0.3719953437048976,0.2719966862534367
89.61391,0.3710029599918899,0.2710042283977921
89.61286,0.3699967420766987,0.26999793532304794
89.61181,0.36899596756205255,0.2689970860710821
89.61076,0.36800059239617966,0.26800163658557663
89.6097,0.36700116985259335,0.267002139433661
89.60863,0.3659978094281892,0.2659987041195318
89.60756,0.3649999204337123,0.26500074065516527
