Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.3478889160832
89.99,14.323944950992633,14.024420278968982
89.985,9.549296694596801,9.250249967485665
89.98,7.161972584579396,6.863405516945147
89.975,5.729578133113367,5.431492414031048
89.97,4.774648510923025,4.4770458040435885
89.965,4.092555934033074,3.795437877650829
89.96,3.5809865104558702,3.284354717577774
89.955,3.1830991890871654,2.8869552475050813
89.95,2.864789339264409,2.5691348116291457
89.945,2.6043540142023445,2.3091904381003596
89.94,2.387324582710799,2.0926534707425613
89.935,2.203684300119653,1.909507139980794
89.93,2.0462783488073937,1.7525966033721294
89.925,1.9098598625182446,1.6166749699244978
89.92,1.7904936915603722,1.4978070652975002
89.915,1.6851706038164938,1.3929836328150074
89.91,1.5915500854176114,1.2998641341406725
89.905,1.5077843622566205,1.216600770792732
89.9,1.4323952150478383,1.1417152992056163
89.895,1.364185990083807,1.0740110414876614
89.89,1.302177607058425,1.0125088932464619
89.885,1.2455612605014348,0.9564000250242252
89.88,1.1936629458542878,0.9050104083753627
89.875,1.1459164992878033,0.8577738556856627
89.87,1.1018428591003675,0.8142112815720286
89.865,1.061033935694309,0.7739145728598013
89.86,1.0231399379859094,0.7365339149950509
89.855,0.9878593219374809,0.7017677405767949
89.85,0.9549307493830269,0.669354688183872
89.845,0.9241266032102279,0.6390671175577173
89.84,0.8952477184458044,0.6107058406862969
89.835,0.8681190713253599,0.5840958108716242
89.83,0.8425862291156025,0.5590825725463944
89.825,0.8185124085384741,0.5355293196855494
89.82,0.7957760244579231,0.5133144444754592
89.815,0.7742686360769301,0.4923294835079254
89.81,0.7538932174192154,0.4724773884833931
89.805,0.7345626938906813,0.4536710648861432
89.8,0.71619869835664,0.4358321386524125
89.795,0.6987305092565195,0.4188898196586258
89.79,0.682094140416469,0.4027801422612711
89.785,0.6662315578648567,0.38744503818190656
89.78,0.6510900034456533,0.3728317277194213
89.775,0.6366214086166989,0.35889212091724476
89.77,0.6227818847090653,0.34558230782365984
89.765,0.6095312782596898,0.33286211382378095
89.76,0.5968327819274324,0.3206947105548163
89.755,0.5846525930520617,0.30904627446465266
89.75,0.5729596131861655,0.2978856863419191
89.745,0.5617251829762463,0.28718426619538007
89.74,0.5509228476344595,0.27691553872440844
89.735,0.5405281489607233,0.2670550253386398
89.73,0.53051844047348,0.2575800592880496
89.725,0.5208727227080123,0.24846962095987463
89.72,0.511571496161369,0.2397041908239176
89.715,0.5025966297167707,0.23126561785834363
89.71,0.49393124267928434,0.2231370015886436
89.705,0.48555959880787153,0.21530258612455608
89.699,0.4758807563252229,0.20626899435201437
89.698,0.47430500675185494,0.2048008455496055
89.697,0.4727396582137721,0.20334311422409032
89.696,0.47118460806917906,0.20189569758005288
89.695,0.4696397550224019,0.20045849416826175
89.694,0.4681049991018936,0.19903140386385693
89.693,0.46658024163866774,0.1976143278450318
89.692,0.4650653852451535,0.19620716857116344
89.691,0.46356033379446027,0.19480982976313088
89.69,0.46206499240004495,0.1934222163820271
89.689,0.4605792673957695,0.19204423460959652
89.688,0.45910306631634423,0.1906757918288404
89.687,0.4576362978781445,0.189316796604523
89.686,0.4561788719603941,0.18796715866477975
89.685,0.45473069958670786,0.1866267888819893
89.684,0.45329169290698396,0.18529559925533742
89.683,0.45186176517963916,0.1839735028926756
89.682,0.4504408307541793,0.18266041399314265
89.681,0.44902880505409765,0.1813562478302752
89.68,0.4476256045600937,0.1800609207349182
89.679,0.44623114679360615,0.17877435007900408
89.678,0.44484535030065175,0.17749645425921431
89.677,0.4434681346359657,0.17622715268117126
89.676,0.4420994203474342,0.17496636574414978
89.675,0.440739128960816,0.17371401482516807
89.674,0.43938718296474366,0.17247002226472344
89.673,0.4380435057960013,0.17123431135150544
89.672,0.4367080218250706,0.17000680630844767
89.671,0.4353806563419412,0.16878743227792614
89.67,0.43406133554217835,0.1675761153084934
89.669,0.4327499865132442,0.16637278234055472
89.668,0.4314465372210649,0.1651773611935194
89.667,0.43015091649684084,0.1639897805521427
89.666,0.4288630540240935,0.1628099699541215
89.665,0.42758288032594394,0.1616378597767273
89.664,0.42631032675261893,0.16047338122458618
89.663,0.4250453254691794,0.15931646631775753
89.662,0.42378780944346667,0.15816704787895633
89.661,0.42253771243426175,0.1570250595224474
89.66,0.42129496897965457,0.15589043564186617
89.659,0.4200595143856162,0.15476311139914004
89.658,0.4188312847147732,0.15364302271301858
89.657,0.41761021677537763,0.1525301062481357
89.656,0.4163962481104693,0.15142429940415186
89.655,0.41518931698722644,0.1503255403053238
89.654,0.4139893623865016,0.14923376778955724
89.653,0.4127963239925383,0.14814892139842264
89.652,0.41161014218286435,0.14707094136728313
89.651,0.4104307580183598,0.14599976861470473
89.65,0.4092581132334947,0.14493534473332742
89.649,0.4080921502267337,0.14387761198007376
89.648,0.4069328120511042,0.14282651326631668
89.647,0.4057800424049254,0.14178199214923937
89.646,0.4046337856226932,0.14074399282243047
89.645,0.403493986666121,0.13971246010658844
89.644,0.4023605911153295,0.13868733944132555
89.643,0.40123354516018617,0.13766857687612274
89.642,0.4001127955917889,0.1366561190619522
89.641,0.3989982897940925,0.13566009774759755
89.6401,0.39800052998419533,0.13475997210453686
89.63919,0.3969967448540876,0.13385431947139795
89.63828,0.3959980103183108,0.13295422031882156
89.63737,0.39500428835430035,0.13204874724226265
89.63645,0.39400470346423067,0.13114886905757672
89.63552,0.3929993823206874,0.13025455109180706
