Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.3478889160832
89.99,14.323944950992633,14.02394396621468
89.985,9.549296694596801,9.24929560185213
89.98,7.161972584579396,6.86197138386265
89.975,5.729578133113367,5.429576824421903
89.97,4.774648510923025,4.474647094256844
89.965,4.092555934033074,3.792554409394331
89.96,3.5809865104558702,3.2809848778484736
89.955,3.1830991890871654,2.883097448516704
89.95,2.864789339264409,2.564787490738303
89.945,2.6043540142023445,2.3043520577302905
89.94,2.387324582710799,2.087322518305705
89.935,2.203684300119653,1.903682127799181
89.93,2.0462783488073937,1.7462760685960828
89.925,1.9098598625182446,1.609857474449724
89.92,1.7904936915603722,1.4904911956791085
89.915,1.6851706038164938,1.3851680001787898
89.91,1.5915500854176114,1.2915473740918262
89.905,1.5077843622566205,1.20778154332266
89.9,1.4323952150478383,1.1323922885960054
89.895,1.364185990083807,1.064182956213097
89.89,1.302177607058425,1.002174465874313
89.885,1.2455612605014348,0.9455580121131069
89.88,1.1936629458542878,0.8936595903710797
89.875,1.1459164992878033,0.8459130368142681
89.87,1.1018428591003675,0.801839289728618
89.865,1.061033935694309,0.7610302594906547
89.86,1.0231399379859094,0.7231361549652511
89.855,0.9878593219374809,0.6878554320118104
89.85,0.9549307493830269,0.6549267522615404
89.845,0.9241266032102279,0.6241224982774707
89.84,0.8952477184458044,0.5952435055234598
89.835,0.8681190713253599,0.5681147627222118
89.83,0.8425862291156025,0.5425818573403541
89.825,0.8185124085384741,0.5185078841121682
89.82,0.7957760244579231,0.4957713948370128
89.815,0.7742686360769301,0.4742639015786972
89.81,0.7538932174192154,0.4538883784205702
89.805,0.7345626938906813,0.43455775083283316
89.8,0.71619869835664,0.41619365174501655
89.795,0.6987305092565195,0.39872535965405304
89.79,0.682094140416469,0.38208888842846217
89.785,0.6662315578648567,0.36622620411408124
89.78,0.6510900034456533,0.3510845485371584
89.775,0.6366214086166989,0.33661585309315506
89.77,0.6227818847090653,0.322776228999409
89.765,0.6095312782596898,0.3095255226262761
89.76,0.5968327819274324,0.2968269264194752
89.755,0.5846525930520617,0.2846466374748748
89.75,0.5729596131861655,0.2729535570944049
89.745,0.5617251829762463,0.2617190256920356
89.74,0.5509228476344595,0.2509165882798216
89.735,0.5405281489607233,0.24052178649306377
89.73,0.53051844047348,0.23051197373033705
89.725,0.5208727227080123,0.22086615048169886
89.72,0.511571496161369,0.21156481730413226
89.715,0.5025966297167707,0.2025898432382003
89.71,0.49393124267928434,0.1939243477991941
89.705,0.48555959880787153,0.1855525949517451
89.699,0.4758807563252229,0.17587362112323848
89.698,0.47430500675185494,0.17429784959711397
89.697,0.4727396582137721,0.1727324790840392
89.696,0.47118460806917906,0.17117740693843086
89.695,0.4696397550224019,0.16963253185936888
89.694,0.4681049991018936,0.16809775386817782
89.693,0.46658024163866774,0.16657297428632362
89.692,0.4650653852451535,0.16505809571361296
89.691,0.46356033379446027,0.16355302200671681
89.69,0.46206499240004495,0.16205765825813992
89.689,0.4605792673957695,0.16057191077598257
89.688,0.45910306631634423,0.15909568706536598
89.687,0.4576362978781445,0.15762889581358352
89.686,0.4561788719603941,0.1561714468837498
89.685,0.45473069958670786,0.15472325132790854
89.684,0.45329169290698396,0.15328422144452095
89.683,0.45186176517963916,0.15185427093540527
89.682,0.4504408307541793,0.1504333152725117
89.681,0.44902880505409765,0.14902127243213162
89.68,0.4476256045600937,0.14761806394698168
89.679,0.44623114679360615,0.14622361539156814
89.678,0.44484535030065175,0.14483785590805895
89.677,0.4434681346359657,0.14346071700599863
89.676,0.4420994203474342,0.14209206171516148
89.675,0.440739128960816,0.1407317527621263
89.674,0.43938718296474366,0.13937973623320007
89.673,0.4380435057960013,0.1380359647997838
89.672,0.4367080218250706,0.13670042582238598
89.671,0.4353806563419412,0.13537304650392318
89.67,0.43406133554217835,0.13405365941964967
89.669,0.4327499865132442,0.13274224169891818
89.668,0.4314465372210649,0.13143872287199584
89.667,0.43015091649684084,0.13014308022424534
89.666,0.4288630540240935,0.1288551958280546
89.665,0.42758288032594394,0.1275750002065451
89.664,0.42631032675261893,0.12630242470994565
89.663,0.4250453254691794,0.12503740150331383
89.662,0.42378780944346667,0.1237798635544935
89.661,0.42253771243426175,0.1225297446222654
89.66,0.42129496897965457,0.12128697924471943
