Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.34788983946804
89.99,14.323944950992633,14.024421196310106
89.985,9.549296694596801,9.25025087883704
89.98,7.161972584579396,6.863406422358152
89.975,5.729578133113367,5.431493313554258
89.97,4.774648510923025,4.47704669772269
89.965,4.092555934033074,3.795438765528804
89.96,3.5809865104558702,3.2843555996951643
89.955,3.1830991890871654,2.886956123900155
89.95,2.864789339264409,2.569135682337913
89.945,2.6043540142023445,2.3091913031565174
89.94,2.387324582710799,2.092654330177358
89.935,2.203684300119653,1.9095079938227195
89.93,2.0462783488073937,1.752597451646399
89.925,1.9098598625182446,1.6166758126522902
89.92,1.7904936915603722,1.4978079024949829
89.915,1.6851706038164938,1.392984464492307
89.91,1.5915500854176114,1.2998649603010433
89.905,1.5077843622566205,1.216601591432042
89.9,1.4323952150478383,1.141716114312208
89.895,1.364185990083807,1.07401185104256
89.89,1.302177607058425,1.012509697223907
89.885,1.2455612605014348,0.9564008233924712
89.88,1.1936629458542878,0.9050112010976991
89.875,1.1459164992878033,0.8577746427216212
89.87,1.1018428591003675,0.8142120628787596
89.865,1.061033935694309,0.7739153483936467
89.86,1.0231399379859094,0.7365346847133839
89.855,0.9878593219374809,0.7017685044403024
89.85,0.9549307493830269,0.6693554461596164
89.845,0.9241266032102279,0.6390678696236334
89.84,0.8952477184458044,0.6107065868383665
89.835,0.8681190713253599,0.5840965511360939
89.83,0.8425862291156025,0.5590833070014826
89.825,0.8185124085384741,0.5355300485005763
89.82,0.7957760244579231,0.5133151679787112
89.815,0.7742686360769301,0.4923302022785214
89.81,0.7538932174192154,0.47247810326684375
89.805,0.7345626938906813,0.4536717745021956
89.8,0.71619869835664,0.43583282753056835
89.795,0.6987305092565195,0.4188905202452428
89.79,0.682094140416469,0.4027808458052517
89.785,0.6662315578648567,0.38744574601844334
89.78,0.6510900034456533,0.3728324362945137
89.775,0.6366214086166989,0.3588928260414529
89.77,0.6227818847090653,0.3455830071215149
89.765,0.6095312782596898,0.3328627613837409
89.76,0.5968327819274324,0.3206953504507617
89.755,0.5846525930520617,0.3090469064305252
89.75,0.5729596131861655,0.2978863100943968
89.745,0.5617251829762463,0.2871848814422846
89.74,0.5509228476344595,0.27691614517588453
89.735,0.5405281489607233,0.2670556227209897
89.73,0.53051844047348,0.2575806473598313
89.725,0.5208727227080123,0.2484701995295285
89.72,0.511571496161369,0.23970475976778913
89.715,0.5025966297167707,0.23126617713756664
89.71,0.49393124267928434,0.22313755126299997
89.705,0.48555959880787153,0.2153031263612747
89.699,0.4758807563252229,0.2062695236380851
89.698,0.47430500675185494,0.20480137306204907
89.697,0.4727396582137721,0.2033436399797162
89.696,0.47118460806917906,0.20189622159641085
89.695,0.4696397550224019,0.20045901646361855
89.694,0.4681049991018936,0.1990319244571721
89.693,0.46658024163866774,0.1976148467559335
89.692,0.4650653852451535,0.19620768581992354
89.691,0.46356033379446027,0.19481034537064024
89.69,0.46206499240004495,0.19342273036977173
89.689,0.4605792673957695,0.19204474699963292
89.688,0.45910306631634423,0.19067630264377244
89.687,0.4576362978781445,0.1893173058674781
89.686,0.4561788719603941,0.18796766639938578
89.685,0.45473069958670786,0.18662729511235152
89.684,0.45329169290698396,0.1852961040060147
89.683,0.45186176517963916,0.18397400618865703
89.682,0.4504408307541793,0.18266091585982294
89.681,0.44902880505409765,0.18135674829342954
89.68,0.4476256045600937,0.18006141982067564
89.679,0.44623114679360615,0.17877484781381975
89.678,0.44484535030065175,0.17749695066983934
89.677,0.4434681346359657,0.17622764779462083
89.676,0.4420994203474342,0.17496685958766822
89.675,0.440739128960816,0.1737145074261908
89.674,0.43938718296474366,0.17247051365083577
89.673,0.4380435057960013,0.17123480155039786
89.672,0.4367080218250706,0.1700072953478677
89.671,0.4353806563419412,0.1687879201856271
89.67,0.43406133554217835,0.16757660211218076
89.669,0.4327499865132442,0.16637326806783018
89.668,0.4314465372210649,0.16517784587182374
89.667,0.43015091649684084,0.16399026420869794
89.666,0.4288630540240935,0.16281045261587343
89.665,0.42758288032594394,0.16163834147028858
89.664,0.42631032675261893,0.16047386197618105
89.663,0.4250453254691794,0.15931694615316852
