Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.34788983946804
89.99,14.323944950992633,14.023944885917265
89.985,9.549296694596801,9.24929651792276
89.98,7.161972584579396,6.861972296347625
89.975,5.729578133113367,5.4295777333630735
89.97,4.774648510923025,4.474647999691636
89.965,4.092555934033074,3.7925553113561485
89.96,3.5809865104558702,3.2809857763669674
89.955,3.1830991890871654,2.883098343617715
89.95,2.864789339264409,2.564788382443611
89.945,2.6043540142023445,2.3043529460570693
89.94,2.387324582710799,2.087323403265455
89.935,2.203684300119653,1.9036830093960295
89.93,2.0462783488073937,1.7462769468244865
89.925,1.9098598625182446,1.6098583492920826
89.92,1.7904936915603722,1.4904920671039374
89.915,1.6851706038164938,1.3851688681397802
89.91,1.5915500854176114,1.2915482385278434
89.905,1.5077843622566205,1.2077824041586265
89.9,1.4323952150478383,1.1323931457445442
89.895,1.364185990083807,1.0641838095768201
89.89,1.302177607058425,1.0021753153487059
89.885,1.2455612605014348,0.9455588575900655
89.88,1.1936629458542878,0.8936604317434124
89.875,1.1459164992878033,0.8459138739819065
89.87,1.1018428591003675,0.8018401226082644
89.865,1.061033935694309,0.7610310880326806
89.86,1.0231399379859094,0.7231369791862827
89.855,0.9878593219374809,0.6878562520611937
89.85,0.9549307493830269,0.6549275685555576
89.845,0.9241266032102279,0.6241233117053425
89.84,0.8952477184458044,0.5952443169058003
89.835,0.8681190713253599,0.5681155613557355
89.83,0.8425862291156025,0.5425826146131753
89.825,0.8185124085384741,0.5185086957708092
89.82,0.7957760244579231,0.4957722142283966
89.815,0.7742686360769301,0.47426472177332485
89.81,0.7538932174192154,0.4538891943525597
89.805,0.7345626938906813,0.434558511711726
89.8,0.71619869835664,0.41619440489889503
89.795,0.6987305092565195,0.3987261044876705
89.79,0.682094140416469,0.38208962430303545
89.785,0.6662315578648567,0.3662269303756765
89.78,0.6510900034456533,0.3510852645563234
89.775,0.6366214086166989,0.3366165583147258
89.77,0.6227818847090653,0.3227769229992685
89.765,0.6095312782596898,0.3095262051691883
89.76,0.5968327819274324,0.2968275975093496
89.755,0.5846525930520617,0.28464729738702155
89.75,0.5729596131861655,0.2729542063808116
89.745,0.5617251829762463,0.26171966515865325
89.74,0.5509228476344595,0.2509172189472713
89.735,0.5405281489607233,0.24052240955332427
89.73,0.53051844047348,0.23051259049384418
89.725,0.5208727227080123,0.2208667622941889
89.72,0.511571496161369,0.2115654254335295
89.715,0.5025966297167707,0.20259044877181975
89.71,0.49393124267928434,0.1939249515894934
89.705,0.48555959880787153,0.18555319762372285
89.699,0.4758807563252229,0.17587422307430967
89.698,0.47430500675185494,0.17429845149433468
89.697,0.4727396582137721,0.17273308095117046
89.696,0.47118460806917906,0.171178008803253
89.695,0.4696397550224019,0.16963313375524483
89.694,0.4681049991018936,0.16809835583607513
89.693,0.46658024163866774,0.16657357637742531
89.692,0.4650653852451535,0.16505869799265757
89.691,0.46356033379446027,0.16355362455618705
89.69,0.46206499240004495,0.16205826118330854
89.689,0.4605792673957695,0.16057251421049615
89.688,0.45910306631634423,0.15909629117621793
89.687,0.4576362978781445,0.1576295008023405
89.686,0.4561788719603941,0.1561720529762633
89.685,0.45473069958670786,0.15472385873405198
89.684,0.45329169290698396,0.15328483024507764
89.683,0.45186176517963916,0.1518548807991762
89.682,0.4504408307541793,0.15043392479840578
89.681,0.44902880505409765,0.14902187775783124
89.68,0.4476256045600937,0.14761865632518195
89.679,0.44623114679360615,0.14622417834223014
89.678,0.44484535030065175,0.14483836300284572
89.677,0.4434681346359657,0.1434611312390742
89.676,0.4420994203474342,0.1420924065917195
89.675,0.440739128960816,0.14073211651076475
89.674,0.43938718296474366,0.13938019080394842
89.673,0.4380435057960013,0.13803655270288895
89.672,0.4367080218250706,0.13670107199034046
89.671,0.4353806563419412,0.1353737666751598
89.67,0.43406133554217835,0.1340545063736926
89.669,0.4327499865132442,0.13274319879018248
89.668,0.4314465372210649,0.1314397177096897
89.667,0.43015091649684084,0.1301439989755965
89.666,0.4288630540240935,0.12885602826522194
89.665,0.42758288032594394,0.1275757888189268
89.664,0.42631032675261893,0.12630302320303372
89.663,0.4250453254691794,0.12503799991232914
89.662,0.42378780944346667,0.12378046187936347
89.661,0.42253771243426175,0.12253034286291747
89.66,0.42129496897965457,0.12128757740108098
89.659,0.4200595143856162,0.12005210079982505
89.658,0.4188312847147732,0.11882384912177614
89.657,0.41761021677537763,0.11760275917518614
89.656,0.4163962481104693,0.11638876850309479
89.655,0.41518931698722644,0.11518181537268025
89.654,0.4139893623865016,0.11398183876479492
89.653,0.4127963239925383,0.11278877836368233
89.652,0.41161014218286435,0.11160257454687006
89.651,0.4104307580183598,0.11042316837523823
89.65,0.4092581132334947,0.10925050158325661
89.649,0.4080921502267337,0.10808451656938978
89.648,0.4069328120511042,0.10692515638666514
89.647,0.4057800424049254,0.10577236473340182
89.646,0.4046337856226932,0.10462608594409555
89.645,0.403493986666121,0.10348626498045953
89.644,0.4023605911153295,0.10235284742261458
89.643,0.40123354516018617,0.10122577946042793
89.642,0.4001127955917889,0.1001050078849974
89.641,0.3989982897940925,0.09900159462298583
89.6401,0.39800052998419533,0.09800375948809158
89.63919,0.3969967448540876,0.09699989861793042
89.63828,0.3959980103183108,0.09600108876207131
89.63737,0.39500428835430035,0.09499639875507337
89.63645,0.39400470346423067,0.09399679361858325
89.63552,0.3929993823206874,0.09300223484670844
89.63459,0.39199917846979293,0.09200195571267711
89.63366,0.3910040529388813,0.09099608169381172
89.63272,0.3900033483135777,0.0899953563819806
89.63177,0.3889971888493613,0.08899974034599101
89.63082,0.38799620766161913,0.08799868395186286
89.62987,0.3870003648776363,0.08700276637907928
89.62891,0.3859992191298656,0.08600154547510563
89.62795,0.3850032399275599,0.08499514302296128
89.62698,0.38400209283913295,0.08400426934874654
89.626,0.38299589838165576,0.08299799944410488
89.62502,0.3819949632849593,0.08199698932215027
89.62404,0.3809992464209427,0.08100119785038874
89.62305,0.3799986260910866,0.08000050257099162
89.62206,0.3790032479756257,0.07899502145054589
