Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,20.212845247868994
89.99,14.323944950992633,8.896885323644963
89.985,9.549296694596801,6.188704947232786
89.98,7.161972584579396,10.469138527458988
89.975,5.729578133113367,11.610156794527894
89.97,4.774648510923025,8.116251821092487
89.965,4.092555934033074,11.038013679516434
89.96,3.5809865104558702,11.56753643965506
89.955,3.1830991890871654,11.188053121671503
89.95,2.864789339264409,9.740267112959975
89.945,2.6043540142023445,13.798870235811268
89.94,2.387324582710799,12.585183414454207
89.935,2.203684300119653,10.462727143396753
89.93,2.0462783488073937,10.325306591581459
89.925,1.9098598625182446,9.842366308286332
89.92,1.7904936915603722,10.222083002089018
89.915,1.6851706038164938,12.110859194454804
89.91,1.5915500854176114,12.731104864450405
89.905,1.5077843622566205,13.25193148384137
89.9,1.4323952150478383,13.331137852760264
89.895,1.364185990083807,14.191334529744273
89.89,1.302177607058425,14.583784908501244
89.885,1.2455612605014348,13.861939331719189
89.88,1.1936629458542878,12.705382533448995
89.875,1.1459164992878033,11.886541847030747
89.87,1.1018428591003675,11.681091426517103
89.865,1.061033935694309,14.28506544048768
89.86,1.0231399379859094,13.495142737807125
89.855,0.9878593219374809,13.187601187284494
89.85,0.9549307493830269,12.534951940124866
89.845,0.9241266032102279,12.231135739815057
89.84,0.8952477184458044,12.809175773905428
89.835,0.8681190713253599,13.699884663839494
89.83,0.8425862291156025,13.185512300290485
89.825,0.8185124085384741,14.37293226045291
89.82,0.7957760244579231,12.294452652710063
89.815,0.7742686360769301,14.81226646661014
89.81,0.7538932174192154,13.521131709417189
89.805,0.7345626938906813,12.65223782010227
89.8,0.71619869835664,12.944972297113937
89.795,0.6987305092565195,13.604339979036718
89.79,0.682094140416469,11.517554337565278
89.785,0.6662315578648567,13.840142777325074
89.78,0.6510900034456533,14.68608556013247
89.775,0.6366214086166989,14.606885181268476
89.77,0.6227818847090653,14.595480911166884
89.765,0.6095312782596898,13.579180243008135
89.76,0.5968327819274324,14.251438718708329
89.755,0.5846525930520617,13.772367323773839
89.75,0.5729596131861655,13.759565867843587
89.745,0.5617251829762463,13.358298198473204
89.74,0.5509228476344595,12.784010759931611
89.735,0.5405281489607233,12.86392746673523
89.73,0.53051844047348,12.894500013463807
89.725,0.5208727227080123,14.360507687619812
89.72,0.511571496161369,13.702640203603927
89.715,0.5025966297167707,13.009733813002468
89.71,0.49393124267928434,13.210323590538339
89.705,0.48555959880787153,14.373493887306628
89.699,0.4758807563252229,13.779025544517188
89.698,0.47430500675185494,15.015328091217905
89.697,0.4727396582137721,13.614343662382497
89.696,0.47118460806917906,14.274821171322277
89.695,0.4696397550224019,14.724587807552409
89.694,0.4681049991018936,14.73418304140439
89.693,0.46658024163866774,15.156115048342421
89.692,0.4650653852451535,12.084088730409363
89.691,0.46356033379446027,13.926635392771123
89.69,0.46206499240004495,13.520872559273295
89.689,0.4605792673957695,13.169991271119493
89.688,0.45910306631634423,14.432018925558598
89.687,0.4576362978781445,14.358788899610195
89.686,0.4561788719603941,14.274843434215125
89.685,0.45473069958670786,13.733417226979004
89.684,0.45329169290698396,13.392286265191096
89.683,0.45186176517963916,13.83930838264489
89.682,0.4504408307541793,13.209472313571503
89.681,0.44902880505409765,14.619717076172327
89.68,0.4476256045600937,13.871998376238771
89.679,0.44623114679360615,12.749277382524319
89.678,0.44484535030065175,13.422836671087072
89.677,0.4434681346359657,13.654989681480108
89.676,0.4420994203474342,13.726187182955123
89.675,0.440739128960816,13.38849893818014
89.674,0.43938718296474366,14.408253680349157
89.673,0.4380435057960013,14.587970011337973
89.672,0.4367080218250706,12.517531107295452
89.671,0.4353806563419412,14.010943352461254
89.67,0.43406133554217835,12.91428601584317
89.669,0.4327499865132442,14.695324728332674
89.668,0.4314465372210649,14.046459597131143
89.667,0.43015091649684084,14.608126755186554
89.666,0.4288630540240935,14.4510960696965
89.665,0.42758288032594394,14.623065222539402
89.664,0.42631032675261893,12.844587935699444
89.663,0.4250453254691794,14.081476337798936
89.662,0.42378780944346667,14.340187874757966
89.661,0.42253771243426175,13.212584443828959
89.66,0.42129496897965457,14.400395477188352
89.659,0.4200595143856162,13.097045425036933
89.658,0.4188312847147732,14.50627821979175
89.657,0.41761021677537763,13.735611403747585
89.656,0.4163962481104693,13.816073681719466
89.655,0.41518931698722644,14.061139285914065
89.654,0.4139893623865016,13.639450880123338
89.653,0.4127963239925383,15.020488161356933
89.652,0.41161014218286435,14.722854206441788
89.651,0.4104307580183598,14.30869050647801
89.65,0.4092581132334947,13.737214640362545
89.649,0.4080921502267337,13.285793290333018
89.648,0.4069328120511042,13.814389416116814
89.647,0.4057800424049254,13.36132783551424
89.646,0.4046337856226932,14.019424979651149
89.645,0.403493986666121,14.597649234803288
89.644,0.4023605911153295,14.061542924102037
89.643,0.40123354516018617,12.794691161570565
89.642,0.4001127955917889,13.679512339819109
89.641,0.3989982897940925,13.846970887527398
89.6401,0.39800052998419533,13.480696079865355
89.63919,0.3969967448540876,13.2482225510726
89.63828,0.3959980103183108,13.892110665767037
89.63737,0.39500428835430035,13.994378733406037
89.63645,0.39400470346423067,13.854448192830004
89.63552,0.3929993823206874,14.316086721617646
89.63459,0.39199917846979293,14.030032443344702
89.63366,0.3910040529388813,13.963037440624522
89.63272,0.3900033483135777,14.132797305101347
89.63177,0.3889971888493613,15.336916128682738
89.63082,0.38799620766161913,13.950047466608279
89.62987,0.3870003648776363,13.790173191592999
89.62891,0.3859992191298656,14.31564859710734
89.62795,0.3850032399275599,14.972196176426635
89.62698,0.38400209283913295,14.195631690558358
89.626,0.38299589838165576,13.877758560947534
89.62502,0.3819949632849593,13.780340558276198
89.62404,0.3809992464209427,13.720167016346176
89.62305,0.3799986260910866,13.837767249706694
89.62206,0.3790032479756257,13.143451040556887
89.62106,0.37800309559336753,14.272709317482633
89.62005,0.37699828561178994,14.325689546925473
89.61904,0.3759988035675286,14.359324866669294
89.61803,0.3750046071964003,14.42548682869701
89.617,0.37399612412735767,14.060290407132287
89.61598,0.37300276347670136,13.612808431029842
89.61494,0.3719953437048976,13.269158513666369
89.61391,0.3710029599918899,13.543624185488218
89.61286,0.3699967420766987,13.904356103251784
89.61181,0.36899596756205255,12.997493097367336
89.61076,0.36800059239617966,13.86499990383083
89.6097,0.36700116985259335,14.95177250935071
89.60863,0.3659978094281892,14.32061827966089
89.60756,0.3649999204337123,13.806268758889768
89.60648,0.3639982083451648,13.969641885664473
89.6054,0.3630019795690257,14.055792879734298
89.60431,0.362002040492309,13.231848671818929
89.60321,0.36099849729543937,14.469741085133375
89.60211,0.36000050290007884,14.391724869286648
89.601,0.3589990138636561,15.616602721603655
89.59989,0.35800308160807287,14.110774724969966
89.59877,0.35700376220394914,13.765000798921918
89.59764,0.35600115844701496,14.309841917364372
89.59651,0.3550041704502312,14.163834205687523
89.59537,0.35400400226036144,13.601934895372203
89.59422,0.35300075462609576,13.781106802196208
89.59307,0.3520031774727346,14.626338565563046
89.59191,0.35100262168730567,14.65496030167235
89.59074,0.34999918594258256,14.426366477243494
89.58957,0.3490014711723331,14.191998728432015
89.58839,0.34800097390111223,13.332888103135758
