"Angle","normalized_Effectivef"
0.005,1
0.01,0.999996149440473
0.015,0.999992272510094
0.02,0.999988369223114
0.025,0.999984439593781
0.03,0.999980483636344
0.035,0.999976501365052
0.04,0.999972492794156
0.045,0.999968457937904
0.05,0.999964396810546
0.055,0.99996030942633
0.06,0.999956195799507
0.065,0.999952055944326
0.07,0.999947889875035
0.075,0.999943697605884
0.08,0.999939479151123
0.085,0.999935234525001
0.09,0.999930963741766
0.095,0.999926666815669
0.1,0.999922343760958
0.105,0.999917994591884
0.11,0.999913619322695
0.115,0.99990921796764
0.12,0.999904790540969
0.125,0.999900337056931
0.13,0.999895857529775
0.135,0.999891351973752
0.14,0.999886820403109
0.145,0.999882262832096
0.15,0.999877679274964
0.155,0.99987306974596
0.16,0.999868434259334
0.165,0.999863772829336
0.17,0.999859085470214
0.175,0.999854372196219
0.18,0.9998496330216
0.185,0.999844867960604
0.19,0.999840077027484
0.195,0.999835260236486
0.2,0.99983041760186
0.205,0.999825549137857
0.21,0.999820654858725
0.215,0.999815734778714
0.22,0.999810788912072
0.225,0.99980581727305
0.23,0.999800819875896
0.235,0.999795796734859
0.24,0.99979074786419
0.245,0.999785673278137
0.25,0.999780572990949
0.255,0.999775447016877
0.26,0.999770295370168
0.265,0.999765118065074
0.27,0.999759915115842
0.275,0.999754686536722
0.28,0.999749432341963
0.285,0.999744152545815
0.29,0.999738847162527
0.295,0.999733516206349
0.301,0.999727085322782
0.302,0.999726009932373
0.303,0.999724933520417
0.304,0.999723856087027
0.305,0.999722777632317
0.306,0.999721698156402
0.307,0.999720617659394
0.308,0.99971953614141
0.309,0.999718453602561
0.31,0.999717370042962
0.311,0.999716285462728
0.312,0.999715199861972
0.313,0.999714113240809
0.314,0.999713025599351
0.315,0.999711936937714
0.316,0.999710847256011
0.317,0.999709756554356
0.318,0.999708664832864
0.319,0.999707572091648
0.32,0.999706478330822
0.321,0.9997053835505
0.322,0.999704287750796
0.323,0.999703190931825
0.324,0.999702093093699
0.325,0.999700994236534
0.326,0.999699894360443
0.327,0.999698793465541
0.328,0.99969769155194
0.329,0.999696588619756
0.33,0.999695484669101
0.331,0.999694379700091
0.332,0.999693273712839
0.333,0.99969216670746
0.334,0.999691058684066
0.335,0.999689949642772
0.336,0.999688839583693
0.337,0.999687728506941
0.338,0.999686616412632
0.339,0.999685503300879
0.34,0.999684389171796
0.341,0.999683274025497
0.342,0.999682157862096
0.343,0.999681040681707
0.344,0.999679922484445
0.345,0.999678803270422
0.346,0.999677683039753
0.347,0.999676561792553
0.348,0.999675439528934
0.349,0.999674316249012
0.35,0.9996731919529
0.351,0.999672066640711
0.352,0.999670940312561
0.353,0.999669812968563
0.354,0.99966868460883
0.355,0.999667555233478
0.356,0.99966642484262
0.357,0.99966529343637
0.358,0.999664161014841
0.358991414459382,0.999663037313636
0.359893379242521,0.999662014130851
0.36079988774911,0.999660984961745
0.361710974399486,0.999659949754737
0.362626673962509,0.999658908457662
0.363547021560009,0.99965786101776
0.364472052671232,0.999656807381671
0.365401803137502,0.999655747495425
0.366336309166684,0.999654681304433
0.367275607338087,0.999653608753481
0.368219734607052,0.999652529786716
0.369168728309901,0.999651444347643
0.37012262616885,0.99965035237911
0.371081466296971,0.999649253823302
0.372045287203292,0.999648148621732
0.373014127797958,0.999647036715229
0.373988027397445,0.99964591804393
0.374967025729916,0.999644792547268
0.375951162940552,0.999643660163963
0.376940479597124,0.999642520832013
0.377935016695531,0.99964137448868
0.378934815665417,0.999640221070484
0.379939918376024,0.999639060513186
0.380950367141921,0.999637892751784
0.381966204729025,0.999636717720493
0.382987474360633,0.999635535352744
0.384014219723483,0.999634345581161
0.385046484974069,0.99963314833756
0.386084314744878,0.999631943552927
0.387127754150953,0.999630731157413
0.388176848796263,0.999629511080317
0.389231644780509,0.999628283250077
0.390292188705743,0.999627047594251
0.391358527683323,0.999625804039513
0.392430709340871,0.999624552511628
0.393508781829297,0.999623292935448
0.3945927938301,0.999622025234894
0.395682794562646,0.999620749332941
0.396778833791615,0.999619465151604
0.397880961834588,0.999618172611925
0.39898922956975,0.999616871633955
0.400103688443679,0.999615562136743
0.401224390479399,0.999614244038316
0.402351388284359,0.999612917255663
0.40348473505874,0.999611581704724
0.404624484603815,0.999610237300369
0.405770691330432,0.99960888395638
0.406923410267709,0.99960752158544
0.408082697071819,0.999606150099108
0.409248608034943,0.999604769407807
0.41042120009439,0.999603379420805
0.411600530841895,0.999601980046193
0.412786658532966,0.99960057119087
0.413979642096578,0.999599152760522
0.415179541144866,0.999597724659603
0.416386415983027,0.999596286791315
0.417600327619525,0.999594839057589
0.418821337776279,0.99959338135906
0.42004950889914,0.999591913595053
0.421284904168601,0.999590435663554
0.422527587510515,0.999588947461194
0.423777623607236,0.999587448883224
0.42503507790876,0.999585939823493
0.426300016644205,0.999584420174422
0.4275725068334,0.999582889826985
0.428852616298727,0.999581348670683
0.430140413677165,0.999579796593516
0.431435968432595,0.999578233481965
0.432739350868232,0.99957665922096
0.434050632139417,0.999575073693855
0.435369884266436,0.999573476782405
0.436697180147874,0.999571868366736
0.438032593573908,0.999570248325316
0.439376199240044,0.999568616534931
0.440728072761019,0.999566972870651
0.442088290684978,0.999565317205805
0.443456930507978,0.999563649411948
0.444834070688628,0.999561969358832
0.446219790663136,0.999560276914374
0.447614170860547,0.999558571944625
0.449017292718338,0.999556854313735
0.45042923869822,0.999555123883923
0.451850092302351,0.999553380515441
0.453279938089764,0.999551624066538
0.454718861693138,0.99954985439343
0.456166949835904,0.999548071350256
0.457624290349671,0.999546274789049
0.459090972191959,0.999544464559692
0.460567085464305,0.999542640509883
0.462052721430766,0.999540802485096
0.463547972536631,0.999538950328538
0.465052932427668,0.99953708388111
0.466567695969673,0.999535202981365
0.468092359268326,0.999533307465466
0.469627019689639,0.999531397167139
0.471171775880563,0.999529471917633
0.472726727790175,0.99952753154567
0.474291976691248,0.999525575877402
0.475867625202213,0.999523604736358
0.477453777309577,0.999521617943405
0.479050538390823,0.999519615316687
0.480658015237765,0.99951759667158
0.482276316080245,0.999515561820641
0.483905550610544,0.99951351057355
0.485545830008135,0.999511442737063
0.487197266964913,0.999509358114947
0.488859975711094,0.99950725650793
0.490534072041442,0.999505137713642
0.492219673342262,0.999503001526552
0.49391689861875,0.999500847737912
0.495625868523035,0.99949867613569
0.497346705382782,0.99949648650451
0.499079533230301,0.999494278625584
0.500824477832467,0.999492052276649
0.502581666721028,0.999489807231894
0.504351229223772,0.999487543261895
0.506133296496145,0.99948526013354
0.507928001553779,0.999482957609957
0.509735479305476,0.99948063545044
0.511555866587045,0.999478293410372
0.513389302195861,0.999475931241146
0.515235926926124,0.999473548690086
0.517095883604867,0.999471145500362
0.518969317128807,0.99946872141091
0.520856374501946,0.999466276156341
0.522757204874083,0.999463809466858
0.524671959580019,0.999461321068161
0.526600792179735,0.999458810681356
0.528543858499518,0.999456278022862
0.530501316673806,0.99945372280431
0.5324733271882,0.999451144732446
0.534460052923222,0.999448543509029
0.536461659199219,0.999445918830726
0.538478313822196,0.999443270389002
0.540510187130664,0.999440597870014
0.542557452043695,0.999437900954499
0.544620284109897,0.999435179317651
0.546698861557601,0.999432432629014
0.548793365346171,0.999429660552349
0.55090397921856,0.999426862745518
0.55303088975505,0.999424038860352
0.555174286428084,0.999421188542521
0.557334361658761,0.999418311431399
0.559511310874186,0.999415407159928
0.561705332566547,0.999412475354474
0.563916628353383,0.999409515634682
0.566145403039329,0.999406527613331
0.568391864679384,0.999403510896175
0.570656224643628,0.99940046508179
0.572938697683483,0.999397389761412
0.575239501999604,0.999394284518772
0.577558859311452,0.999391148929924
0.579896994928461,0.999387982563073
0.582254137823028,0.999384784978395
0.584630520705176,0.999381555727852
0.58702638009926,0.999378294355004
0.589441956422306,0.999375000394817
0.591877494064477,0.999371673373457
0.594333241471531,0.999368312808092
0.596809451229177,0.999364918206677
0.599306380149784,0.999361489067741
0.601824289361105,0.999358024880158
0.604363444397265,0.999354525122928
0.606924115292188,0.999350989264929
0.609506576675187,0.999347416764689
0.612111107869296,0.999343807070125
0.614737992991834,0.999340159618296
0.617387521057722,0.999336473835133
0.620059986085579,0.999332749135172
0.622755687206322,0.999328984921276
0.625474928774864,0.999325180584344
0.628218020484624,0.999321335503022
0.630985277485067,0.999317449043391
0.633777020502407,0.999313520558663
0.636593575963474,0.999309549388853
0.639435276122981,0.999305534860449
0.642302459194127,0.999301476286073
0.645195469482701,0.999297372964125
0.648114657525042,0.999293224178424
0.651060380229495,0.999289029197833
0.654033001021816,0.999284787275877
0.657032889994738,0.999280497650342
0.660060424061484,0.999276159542871
0.663115987113585,0.999271772158542
0.666199970183129,0.99926733468543
0.669312771609626,0.999262846294166
0.672454797211387,0.999258306137469
0.675626460461913,0.999253713349675
0.678828182671296,0.999249067046243
0.682060393172648,0.999244366323246
0.685323529514093,0.999239610256856
0.688618037656084,0.999234797902794
0.691944372174646,0.999229928295782
0.695302996470332,0.999225000448962
0.698694382983476,0.999220013353307
0.702119013415611,0.999214965977003
0.705577378957585,0.999209857264818
0.709069980524319,0.999204686137452
0.712597328996651,0.999199451490852
0.716159945470409,0.999194152195523
0.719758361512973,0.999188787095799
0.723393119427641,0.999183355009103
0.727064772525992,0.999177854725171
0.730773885408709,0.999172285005257
0.734521034254811,0.999166644581308
0.738306807120097,0.999160932155109
0.742131804244664,0.999155146397405
0.745996638370102,0.99914928594698
0.749901935066674,0.999143349409719
0.753848333070763,0.999137335357628
0.757836484633117,0.999131242327818
0.761867055878085,0.99912506882146
0.765940727174467,0.999118813302697
0.77005819351831,0.999112474197516
0.774220164928053,0.99910604989259
0.778427366852654,0.999099538734062
0.782680540592963,0.999092939026296
0.786980443737122,0.99908624903058
0.791327850610244,0.99907946696378
0.795723552739275,0.999072590996941
0.800168359333128,0.999065619253844
0.804663097779354,0.999058549809499
0.809208614157342,0.999051380688591
0.813805773769161,0.99904410986386
0.818455461688615,0.999036735254418
0.823158583329032,0.999029254724013
0.827916065031005,0.999021666079209
0.832728854670421,0.99901396706751
0.837597922287912,0.999006155375403
0.842524260740419,0.998998228626328
0.847508886376033,0.99899018437856
0.852552839732738,0.998982020123021
0.857657186262472,0.998973733280989
0.862823017081027,0.998965321201727
0.868051449745536,0.998956781160008
0.873343629060201,0.998948110353543
0.878700727911664,0.998939305900304
0.884123948135425,0.998930364835734
0.889614521414373,0.998921284109844
0.895173710211068,0.998912060584185
0.900802808735293,0.998902691028698
0.906503143948044,0.998893172118428
0.912276076604215,0.998883500430096
0.918123002335051,0.998873672438527
0.924045352772708,0.998863684512927
0.930044596718432,0.998853532912989
0.936122241356685,0.99884321378484
0.942279833516992,0.998832723156801
0.948518960986064,0.998822056934967
0.954841253872175,0.998811210898583
0.961248386024735,0.998800180695215
0.967742076511044,0.998788961835708
0.974324091153491,0.998777549688905
0.980996244129869,0.998765939476137
0.987760399639811,0.998754126265444
0.994618473640571,0.998742104965542
1.00157243565577,0.998729870319496
1.00862431066024,0.998717416898107
1.01577618104525,0.998704739092976
1.02303018866783,0.99869183110924
1.0303885369884,0.998678686957961
1.03785349330136,0.998665300448144
1.0454273910633,0.998651665178366
1.05311263232382,0.998637774527994
1.06091169026423,0.998623621647967
1.06882711185,0.998609199451123
1.07686152060261,0.99859450060203
1.08501761949741,0.998579517506317
1.09329819399399,0.998564242299446
1.10170611520637,0.998548666834913
1.11024434322051,0.998532782671844
1.11891593056718,0.99851658106193
1.12772402585868,0.998500052935687
1.13667187759877,0.998483188887982
1.1457628381751,0.998465979162785
1.15500036804477,0.998448413637098
1.16438804012387,0.998430481804019
1.17392954439262,0.998412172754866
1.18362869272872,0.998393475160329
1.19348942398203,0.998374377250557
1.20351580930502,0.998354866794142
1.21371205775381,0.998334931075904
1.22408252217623,0.998314556873409
1.23463170540411,0.998293730432142
1.24536426676835,0.998272437439227
1.25628502895633,0.99825066299562
1.26739898523326,0.998228391586651
1.2787113070498,0.998205607050813
1.29022735206046,0.998182292546672
1.30195267257888,0.998158430517775
1.31389302449794,0.998134002655403
1.3260543767049,0.998108989859026
1.33844292102373,0.99808337219429
1.35106508271963,0.998057128848366
1.36392753160293,0.998030238082455
1.37703719377274,0.998002677181249
1.39040126404402,0.997974422399126
1.40402721910429,0.997945448902823
1.41792283145114,0.997915730710323
1.43209618416465,0.997885240625677
1.44655568657392,0.99785395016943
1.46131009088123,0.997821829504329
1.4763685098131,0.997788847355911
1.49174043537272,0.997754970927605
1.50743575877496,0.997720165809865
1.52346479165182,0.997684395882877
1.53983828862361,0.997647623212307
1.55656747133986,0.997609807937497
1.57366405410255,0.997570908151508
1.59114027119458,0.99753087977228
1.60900890604739,0.997489676404185
1.62728332239358,0.997447249189113
1.64597749756405,0.997403546646195
1.66510605810367,0.997358514499142
1.68468431789628,0.997312095490102
1.70472831900727,0.997264229178812
1.72525487547264,0.997214851725687
1.74628162028564,0.997163895657382
1.76782705585606,0.997111289613152
1.78991060824606,0.997056958070219
1.81255268551558,0.997000821046108
1.83577474054569,0.99694279377572
1.85959933874555,0.996882786360662
1.88405023109179,0.99682070338806
1.90915243299638,0.996756443515782
1.93493230955276,0.99668989902064
1.96141766777033,0.996620955305724
1.98863785647406,0.996549490362611
2.01662387462309,0.996475374183615
2.04540848888723,0.996398468118734
2.0750263614174,0.996318624171233
